filename,column_name,mean,ci_lower,ci_upper,nmes,starch,intrinsic
bodyfat_substitution_results,m,NA,NA,NA,-0.08445476419637071,-1.7166008315028527,3.4830576977602483
bodyfat_substitution_results,m,NA,NA,NA,-0.8266503042165936,-2.3712139707269437,2.149654966036075
bodyfat_substitution_results,m,NA,NA,NA,0.6571563927781886,-1.0817628107022694,4.837303391806015
bodyfat_substitution_results,m,NA,NA,NA,-2.362947298761034,NA,2.699087250217756
bodyfat_substitution_results,m,NA,NA,NA,-3.3017185283014134,NA,0.8736047064842999
bodyfat_substitution_results,m,NA,NA,NA,-1.4199379719455774,NA,4.5280313742986324
bodyfat_substitution_results,m,NA,NA,NA,-3.0507330900952288,NA,NA
bodyfat_substitution_results,m,NA,NA,NA,-4.143362235859425,NA,NA
bodyfat_substitution_results,m,NA,NA,NA,-1.9620108232909976,NA,NA
trig_substitution_results,m,NA,NA,NA,0.02689193416741926,-0.019409038873863155,0.03640159915598877
trig_substitution_results,m,NA,NA,NA,-0.017848447499520963,-0.059112526532014875,-0.03766144867986354
trig_substitution_results,m,NA,NA,NA,0.07404415096442012,0.02211259408791987,0.11481457782975608
trig_substitution_results,m,NA,NA,NA,-0.010126205437609248,NA,0.0151829639585206
trig_substitution_results,m,NA,NA,NA,-0.060930171771949676,NA,-0.05187564352013906
trig_substitution_results,m,NA,NA,NA,0.04410614877843758,NA,0.08516709864092574
trig_substitution_results,m,NA,NA,NA,-0.02630982088194699,NA,NA
trig_substitution_results,m,NA,NA,NA,-0.08824334813014173,NA,NA
trig_substitution_results,m,NA,NA,NA,0.038784249089456865,NA,NA
hdl_substitution_results,m,NA,NA,NA,0.012023847570909392,0.004969327333039869,-0.0024101781989509046
hdl_substitution_results,m,NA,NA,NA,-0.024927307047086514,-0.029140181117674305,-0.06319094526762552
hdl_substitution_results,m,NA,NA,NA,0.04899084787467271,0.03931917073048535,0.05817840449710285
hdl_substitution_results,m,NA,NA,NA,0.029069863275915257,NA,-0.008401822641484423
hdl_substitution_results,m,NA,NA,NA,-0.01588402451890074,NA,-0.0665055899918813
hdl_substitution_results,m,NA,NA,NA,0.07473858002924712,NA,0.050321691013892604
hdl_substitution_results,m,NA,NA,NA,0.03247828010327915,NA,NA
hdl_substitution_results,m,NA,NA,NA,-0.021746005919487926,NA,NA
hdl_substitution_results,m,NA,NA,NA,0.08634981869791725,NA,NA
ldl_substitution_results,m,NA,NA,NA,-0.0780514835435747,-0.013774617317067922,0.04260556385826224
ldl_substitution_results,m,NA,NA,NA,-0.1644704768377722,-0.09554050471813662,-0.0969901131341062
ldl_substitution_results,m,NA,NA,NA,0.007305050103376072,0.06723987060155277,0.1859370560714756
ldl_substitution_results,m,NA,NA,NA,-0.06648719757469086,NA,0.0667944790465241
ldl_substitution_results,m,NA,NA,NA,-0.17020642082680915,NA,-0.06459433245013974
ldl_substitution_results,m,NA,NA,NA,0.0371224584838942,NA,0.19651079834161925
ldl_substitution_results,m,NA,NA,NA,-0.07716753499674478,NA,NA
ldl_substitution_results,m,NA,NA,NA,-0.20118242296354208,NA,NA
ldl_substitution_results,m,NA,NA,NA,0.04796353830284694,NA,NA
hba1c_substitution_results,m,NA,NA,NA,0.0489851773950741,0.004448802514599806,0.021821790105742523
hba1c_substitution_results,m,NA,NA,NA,0.0031797378930739136,-0.038984185958129296,-0.053559127908491946
hba1c_substitution_results,m,NA,NA,NA,0.095579327499514,0.04855555976455635,0.09774134145659054
hba1c_substitution_results,m,NA,NA,NA,0.0504397093112198,NA,0.010214726796603717
hba1c_substitution_results,m,NA,NA,NA,-0.004875521171991262,NA,-0.0590688759075682
hba1c_substitution_results,m,NA,NA,NA,0.1049358939628936,NA,0.08182160452626774
hba1c_substitution_results,m,NA,NA,NA,0.029306200833199344,NA,NA
hba1c_substitution_results,m,NA,NA,NA,-0.03771857820090229,NA,NA
hba1c_substitution_results,m,NA,NA,NA,0.09703507415053209,NA,NA
bmi_substitution_results,m,NA,NA,NA,0.10147417042856251,-0.973128688562332,2.483026055346525
bmi_substitution_results,m,NA,NA,NA,-0.4348964879187775,-1.461135912625327,1.4820310219963193
bmi_substitution_results,m,NA,NA,NA,0.6331278676723062,-0.4907327585816052,3.466577571497876
bmi_substitution_results,m,NA,NA,NA,-1.2409737216327077,NA,2.1832269030973768
bmi_substitution_results,m,NA,NA,NA,-1.9251767974133185,NA,0.8159959151199302
bmi_substitution_results,m,NA,NA,NA,-0.5504318500520763,NA,3.5463429495550893
bmi_substitution_results,m,NA,NA,NA,-2.0570203761148904,NA,NA
bmi_substitution_results,m,NA,NA,NA,-2.8458530755384035,NA,NA
bmi_substitution_results,m,NA,NA,NA,-1.2560440092038396,NA,NA
waistcirumference_substitution_results,m,NA,NA,NA,0.09354814179663054,-1.6519875827009793,6.3733298688898525
waistcirumference_substitution_results,m,NA,NA,NA,-1.4130326931671116,-2.8167403333095926,3.9376559644200246
waistcirumference_substitution_results,m,NA,NA,NA,1.5989208382629094,-0.4937894553087375,8.774114768900201
waistcirumference_substitution_results,m,NA,NA,NA,-3.430229743127596,NA,4.881344079903949
waistcirumference_substitution_results,m,NA,NA,NA,-5.415903989584573,NA,1.6839105907434424
waistcirumference_substitution_results,m,NA,NA,NA,-1.4854615131886548,NA,8.06814618103414
waistcirumference_substitution_results,m,NA,NA,NA,-5.630688182302653,NA,NA
waistcirumference_substitution_results,m,NA,NA,NA,-7.753630176865077,NA,NA
waistcirumference_substitution_results,m,NA,NA,NA,-3.521036300460129,NA,NA
